skillID,skill
0,Data Analysis
1, Research
2, High Performance Computing
3, Statistical Modeling
4, Scientific Writing
5, Programming
6, Machine Learning
7, Mathematical Modeling
8, Data Mining
9, C
10, C++
11, Python
12, Sql
13, Teaching
14, Predictive Analytics
15, Algorithm Design
16, Html / Php / Css
17, Javascript / Jquery
18, Database Design
19, Business Analysis
20, Statistics
21, Forecasting
22, Tableau
23, Mongodb
24, Git
25, Pyspark
26, Hadoop
27, Aws
28, Microsoft Sql Server
29, Nlp
30, Hypothesis Testing
31, A/B Testing
32, Predictive Modeling
33,Computer Science
34, Java
35, Big Data
36, Baking
37, Video Production
38, Scala
39, Html
40, Ruby On Rails
41, Css
42, Matlab
43, Ruby
44, Spark
45, Ocaml
46, Pthreads
47, Openmp
48, Mips
49, Green Marl
50,Management
51, Data Science
52, Analytics
53, Data Analysis
54, Business Intelligence
55, Cloud Computing
56, Product Development
57, Patents
58, Strategy
59, Start-Ups
60, Competitive Analysis
61, Etl
62, Business Development
63, Data Warehousing
64, Pandas
65, Amazon Web Services (Aws)
66, Google Cloud Platform (Gcp)
67, R
68, Software As A Service (Saas)
69, Leadership
70, Public Speaking
71, Cross-Functional Team Leadership
72, Presentation Skills
73, Talent Management
74, Data Analytics
75, Bayesian Statistics
76, Numpy
77, Scipy
78, Bokeh
79,Python (Programming Language)
80, Deep Learning
81, Artificial Intelligence (Ai)
82, Software Development
83, Web Development
84, Data Structures
85, Statistical Data Analysis
86, Unity
87, Microsoft Office
88, Team Foundation Server
89, Github
90, Java Database Connectivity (Jdbc)
91, Artificial Neural Networks
92, Database Management System (Dbms)
93,Leadership
94, Presentations
95, Teamwork
96, Reliability
97, Computer Science
98, Ios Development
99, Signal Processing
100, Software Engineering
101, Algorithms
102, React.Js
103, Php
104, Swift
105, Javascript
106, Microsoft Excel
107, Amazon S3
108, Aws Elastic Beanstalk
109, Postgresql
110, Latex
111, Time Management
112, French
113, Turkish
114, English
115, Quantative Analysis
116, Regression Analysis
117, Audio Processing
118, Fourier Analysis
119, Logistic Regression
120, Linear Regression
121, 5G
122, Software Engineering Practices
123, Calculus
124, Probability
125, Google Sheets
126, Amazon Ec2
127, Typescript
128, Hard-Working
129, Enthusiasm
130, Efficiency
131, Fourier Transform
132, Physics
133, Monte Carlo Simulation
134, C/C++
135, Linux
136, Arcgis
137, Tensorflow
138, Geant4
139, Semiconductor Device Process
140, R Programming
141, Github/Git
142,Data Science
143, Python (Programming Language)
144, Data Visualization
145, Pandas (Software)
146, Flask
147, Statsmodels
148, Seaborn
149, Docker
150, Matplotlib
151, Apache Spark
152, Neural Networks
153, Random Forest
154, Gradient Boosting
155, Supervised Learning
156, Unsupervised Learning
157, Scikit-Learn
158, Classification
159, Koalas
160, Clustering
161,Python
162, Mapreduce
163, Search Engine Technology
164,Microsoft Word
165, Quantitative Research
166, Analysis
167, Powerpoint
168, Spss
169, Customer Service
170, Qualitative Research
171, Excel Dashboards
172, Natural Language Processing (Nlp)
173, Data Modeling
174, Interpreting
175, Multilingual
176, Keras
177, Anaconda
178, Blockchain
179, Solidity
180, Ethereum
181, R (Programming Language)
182, Microsoft Powerpoint
183, Communication
184, Mandarin
185, Machine Learning Algorithms
186, Cryptography
187, Cryptocurrency
188, Blockchain Analysis
189, Interpretation
190, Natural Language Processing
191,Machine Learning
192, Image Processing
193, Electronics
194, Computer Vision
195, Microcontrollers
196, Audio Engineering
197, Virtualization
198, Mysql
199, Aws Sagemaker
200, Vhdl
201, Pytorch
202, Sqlite
203, Relational Databases
204, C (Programming Language)
205, Digital Signal Processing
206, Smote
207, Scilab
208, Gnu Octave
209, Stock Market Analysis
210, Linear Algebra
211, Stochastic Processes
212, Microprocessors
213, Numerical Linear Algebra
214, Optimal Control
215, Opencv
216, Convolutional Neural Networks (Cnn)
217, Vmware Fusion
218, Vmware Workstation
219, Devops
220, Gluoncv
221, Apache Mxnet
222, Vim
223, Market Analysis
224, Chinese
225, Spark Sql
226, Analytical Skills
227, Logistics Management
228, Quantitative Analytics
229, Windows
230, Microsoft Word
231, Team Leadership
232, Eda
233, Panda
234,Microsoft Office
235, Marketing
236, Project Management
237, Customer Relationship Management (Crm)
238, R Programing
239, Photoshop
240, Snowflake
241, Predictive Maintenance
242, Regression
243, Management Consulting
244, Strategic Planning
245, Risk Analysis
246, Underwriting
247, Market Research
248, Spreadsheet Modeling
249, Product Management
250, Insurance
251, Investment Strategies
252, Econometrics
253, Program Evaluation
254, Management Science
255, Product Management Skills
256, Automl
257, Sas
258, Geographic Information Systems (Gis)
259, Stata
260, Team Management
261, Decision Analytics
262, Stochastic Optimization
263, Automated Machne Learning
264,R
265, Ggplot
266, Fda
267, Quality System
268, Medical Devices
269, Root Cause Analysis
270, Six Sigma
271, Biomedical Engineering
272, Fmea
273, Corrective And Preventive Action (Capa)
274, Looker (Software)
275, H2O.Ai
276, Google Bigquery
277, Vba
278, Solidworks
279, Qlikview
280, Problem Solving
281, Process Improvement
282, Digital Marketing
283, Google Data Studio
284, Data Scraping
285, Product Analysis
286, Web Scraping
287, Fraud Prevention
288, Recommender System
289, Chemistry
290, Chemical Engineering
291, Laboratory
292, Mathematics
293, Research And Development (R&D)
294, Aspen Plus
295, Galaxy
296, Genetic
297, Relational Database
298, Statistical Inference
299, Time Series Analysis
300, K-Means Clustering
301, Exploratory Data Analysis
302, Data Wrangling
303, 머신러닝
304, Higher Education
305,Sql
306, Information Management
307, Information Systems Strategy
308, Information Systems
309, Sas Programming
310, Web Analytics
311, D3.Js
312, Databases
313, Ssis
314, C#
315, Cloudera Impala
316, Vb.Net
317, Unix
318, Visio
319, Eclipse
320, Nosql
321, Lookml
322, Data Cubes
323, Hive
324, Apache Pig
325,Machine Learning Algorithms
326, Marketing Strategy
327, Agile Methodologies
328, Cascading Style Sheets (Css)
329, Html5
330, Management
331, Internet Of Things (Iot)
332, Image Recognition
333, Big Data Analytics
334, Image Segmentation
335, Object Detection
336, Yolo V3
337, Electrical Engineering
338, Embedded Systems
339, Verilog
340,Statistics
341, Science
342, Experimental Design
343, Neuroscience
344, Research Design
345, Adobe Illustrator
346, Tidyverse
347, Clojure
348, Regression Models
349, Cognitive Neuroscience
350, Experimental Psychology
351, Music Cognition
352, Psychophysics
353, Cognitive Psychology
354, Mixed-Effects Models
355, Motion Capture
356, Maxmsp
357, Data Cleaning
358, People Analytics
359, Human Behavior
360, Bayesian Inference
361, Causal Inference
362, Information Retrieval
363, Business Intelligence (Bi)
364, Extract
365, Transform
366, Load (Etl)
367, Text Mining
368, Neo4J
369, Android Development
370, Databricks
371, Objective-C
372, Xcode
373, Android
374, Oracle Sql Developer
375, Docker Products
376, Sparql
377, Triple Store
378, Android Studio
379,Business Analytics
380, Key Performance Indicators
381, Organization Skills
382, Qualitative & Quantitative Research Methodologies
383, Operational Strategy
384, Elastic Stack (Elk)
385, Hbase
386, Elasticsearch
387, Kibana
388, Natural Language Processing Toolkit
389, Heroku
390, Security
391, Operating Systems
392,Ruby On Rails
393, Version Control
394, Ux
395, Scrum
396, Web Applications
397, User Interface Design
398, Web Design
399, Front-End Development
400, Sass
401, Jquery
402, Git Flow
403, Visual Studio
404, Node
405, Spanish
406, Italian
407, Front-End Design
408, Atom
409, Sourcetree
410, Atom Text Editor
411, Codekit
412, Networking
413, Mvc
414, Back-End Web Development
415,Java
416, Critical Thinking
417,Account Management
418, Customer Product Training
419, Office Management
420, B2B Sales
421, Solution Selling
422, Technology Sales
423, Hierarchical Clustering
424, Business Analytics
425, Jupyter
426, Jinja
427, Customer Support
428, Training
429, Question Based Selling
430, Customer Service Training
431, Statistical Analysis
432, Data Manipulation
433, Strategic Data Analysis
434, Dbt
435, Community Outreach
436, Social Media
437, Recurrent Neural Networks (Rnn)
438, Oracle Database
439, Kaggle
440, Team Building
441, Interpersonal Skills
442, Punjabi
443, Data Classification
444, Object-Oriented Programming (Oop)
445, Xgboost
446, Database Development
447, Statsmodel
448, Word2Vec
449,Artificial Intelligence (Ai)
450, Business Management
451, Contract Management
452, Project Engineering
453, Medical Imaging
454, Engineering
455, Project Control
456, Deep Neural Networks (Dnn)
457, Programming Languages
458, Image Analysis
459, Confocal Microscopy
460, Entrepreneurship
461, New Business Development
462, Mathematica
463, Looker
464, Negotiation
465, Start-Up Consulting
466, Cluster Analysis
467, Bayesian Models
468, Clustering Analysis
469, Classification Models
470, Knowledge Graphs
471, Data Collection
472, Nonprofit Organizations
473, Simulations
474, Research (Psychology)
475, Empirical Research
476, Json
477, Xml
478, Bootstrap
479, Sklearn
480, H2O
481,Data Visualization
482, Pivot Tables
483, Microsoft Power Bi
484, Jira
485, Aws S3
486, Aws Lambda
487, Sql Server Integration Services (Ssis)
488, Confluence
489, Aws Ec2
490, Glm
491, Sql Server Analysis Services (Ssas)
492, Lesson Planning
493, Education
494, K-12 Education
495, Secondary Education
496, Curriculum Development
497, Biology
498, Microsoft Outlook
499, Mentoring
500, Science Education
501, Biology Education
502, Group Lessons
503, Stem
504, Machining
505, Lean Manufacturing
506, Manufacturing Engineering
507, Supply Chain Management
508, Manufacturing Operations Management
509, Spc
510, R&D
511, Design Of Experiments
512, Black Belt
513, Sql Server Reporting Services (Ssrs)
514, Visual Basic For Applications (Vba)
515, Minitab
516, Plotly
517, Data Engineering
518, Multivariate Analysis
519, Spotfire
520, Rapid Response
521, Weka
522, Heuristics
523, Data Management
524, Reporting & Analysis
525, Wireframing
526, Web Content Writing
527, User Experience (Ux)
528, Knowledge Management
529, User Stories
530, Angularjs
531, Storytelling
532, Talend Open Studio
533, Alteryx
534, Dashboard
535, Business Intelligence Tools
536, Etl Tools
537, Assembly Language
538,Problem Solving
539, Operations Management
540, Agile
541, Power Bi
542, Node.Js
543, Apigee Api Management
544, R Shiny
545, Azure
546, Multidimensional Expressions (Mdx)
547, Dax
548, Decision Trees
549, Arima
550, Stacking
551, Boosting
552,Business Intelligence
553, Financial Analysis
554, .Net Framework
555, Asp.Net
556, Transact-Sql (T-Sql)
557, Microsoft Azure
558, Business Acumen
559, Biztalk
560, Analysis Services
561, Software Quality Assurance
562, Software Documentation
563, Testing
564, Test Planning
565, Healthcare Information Technology
566, Hl7
567, Quality Assurance
568, Requirements Analysis
569, Sdlc
570, Systems Analysis
571, User Acceptance Testing
572, Integration
573, Business Process Improvement
574, Software Development Life Cycle (Sdlc)
575, Business Requirements
576, Regression Testing
577, Epic Systems
578, Sharepoint
579, Quality Center
580, Hdfs
581, Gurobi
582, Pyomo
583, Linear Programming
584,Microsoft Excel
585, Outlook
586, Access
587, Visual Basic
588, Healthcare Analytics
589, Computer Network Operations
590, Unity3D
591, Android Sdk
592, Theoretical Computer Science
593, Genetic Algorithms
594, Discrete Mathematics
595, Risk Management
596, Distributed Systems
597, Amazon Relational Database Service (Rds)
598, Economics
599, Financial Economics
600, Discrete Choice
601, Panel Data Analysis
602, Music
603, Test Automation
604, Angular
605, Junit
606, Hibernate
607, Spring Mvc
608, Spring Boot
609, Rest Api
610, Maven
611, Tomcat
612, Postman Api
613, Swagger Api
614, Rest Apis
615, Restful Webservices
616, Spring Data
617, Apache Kafka
618, Single Page Applications
619, Rdbms
620, Api Development
621, Artificial Intelligence
622, Autocad
623, Ansys
624, Arduino
625, Creo
626, Process Automation
627, Microstation
628, Ptv Vissim
629, Sketchup
630, Collaborative Problem Solving
631, Interpersonal Communication
632, Conflict Resolution
633,Html
634, Scripting
635, Responsive Web Design
636, Chart.Js
637, Written Communication
638, Creative Problem Solving
639, Viruses
640, Crm
641, Business Process
642, Financial Modeling
643, Forecasting Models
644, Sap
645, Decision-Making
646, Model Validation
647, Dimensionality
648, Machine V
649, Applied Machine Learning
650, Pattern Recognition
651,Data Warehousing
652, Master Data Management
653, Soa
654, Oracle
655, Informatica
656, Perl
657, Amazon Web Services
658, Db2
659, Websphere
660, Teradata
661, Dimensional Modeling
662, Redis
663, Greenplum
664, Oltp
665, Datastage
666, Sphinx
667, Ab Initio
668, Molecular Biology
669, Western Blotting
670, Pcr
671, Biochemistry
672, Organic Chemistry
673, Shell Scripting
674, Ipython
675, Isothermal Titration Calorimetry
676, Dask
677,Quantitative Analytics
678, Macroeconomics
679, Competition Law
680, Economic Research
681, Econometric Modeling
682, Economic Policy
683, International Relations
684, Spatial Analysis
685, Shiny
686, Statistical Computing
687, Business
688, Engenharia Civil
689, Sales
690, Logística
691, Transportes
692, Gestão Da Qualidade
693, Administrativo
694, Tradução
695, Ciência De Dados
696, Gestão
697, Inglês
698, Francês
699, Perícia
700, Engenharia De Segurança
701, Gestão Ágil
702, Perícia De Insalubridade E Periculosidade
703, Proj4Me
704, Biotechnology
705, Venture Capital
706, Due Diligence
707, Investments
708, Adobe Creative Suite
709, Salesforce.Com
710, Laboratory Research
711, Life Science Industry
712, Synthetic Biology
713, Technology Development
714, Subcloning
715, Deal Sourcing
716, Ngs
717, Dna Sequencing
718, Biotechnology Industry
719,C++
720, Pl/Sql
721, Javascript Libraries
722, Socket Programming
723, Object-Relational Mapping (Orm)
724, Macos
725, Uml
726, Ubuntu
727, Django
728, Bash
729, Graphical User Interface (Gui)
730, Express
731, Api
732, Amazon Dynamodb
733, Event Planning
734, Editing
735, Financial Reporting
736, Real Estate
737, Japanese
738, Amazon Redshift
739,Teaching
740, Computational Fluid Dynamics (Cfd)
741, Oil & Gas
742, Modeling
743, Tensor Flow
744, University Teaching
745, Production Engineering
746, Full-Stack Development
747, Financial Markets
748, Long Short-Term Memory (Lstm)
749, Recommender Systems
750, Bayesian Methods
751, Applied Mathematics
752, Applied Statistics
753,Hadoop
754, Core Java
755, Jenkins
756, Azure Devops
757, Sqoop
758, Yarn
759, Continuous Integration And Continuous Delivery (Ci/Cd)
760, Control M
761, Urban Code Deployemnt
762, Water Fall Methode
763, Talend Open Studio For Bigdta
764, Team Motivation
765, Self Learning
766, Project Management Fundamentals
767, Manual Testing
768, Test Cases
769, Process Management
770, Business Process Re-Engineering
771, Process Modeling
772, Information System Design
773, Software System Analysis
774, Bugzilla
775, Testlink
776, Selenium Testing
777,Online Research
778, Copy Editing
779, Hospitals
780, Basic Life Support (Bls)
781, Online Journalism
782, News Writing
783, Public Relations
784, Social Media Marketing
785, Seo Copywriting
786, Beautiful Soup
787, Google Slides
788, Angular Command Line Interface (Cli)
789, Git Bash
790, Engineering Data Management
791, Technical Presentations
792, Data Infrastructure
793, Data Models
794, Configuration Management
795, Microsoft
796,Ios Development
797, Product Design
798, User Experience Design
799, Creativity Skills
800, Mobile Application Development
801, Express.Js
802, Java Web Services
803,Design Of Experiments
804, Process Simulation
805, Failure Analysis
806, Process Engineering
807, Continuous Improvement
808, Sem
809, Manufacturing
810, Uv-Vis
811, Tga
812, Differential Scanning Calorimetry
813, Rheology
814, Afm
815, Electronics Packaging
816, Semiconductor Packaging
817, Cross-Cultural Teams
818, Eds
819, Polymer Characterization Techniques
820, Multitasking Skills
821, Assembly Technology
822, Microsections
823, Wirebond
824, Design Expert
825,Petroleum
826, Reservoir Simulation
827, Petroleum Engineering
828, Reservoir Engineering
829, Energy
830, Upstream
831, Gas
832,Modeling
833, Finite Element Analysis
834, Gas Turbines
835, Abaqus
836, Rotordynamics
837, Fluid Film Bearing Design And Analysis
838, Optimization
839, Distributed Algorithms
840, Code Generation
841, Haskell
842, Go
843,Web Analytics
844, Search Engine Optimization (Seo)
845, Google Adwords
846, Google Analytics
847, Lightroom
848, Drracket
849, Email Analytics
850, Enneagram
851,Telecommunications
852, 3G
853, Wireless
854, 4G
855, Vendor Management
856, Voice Over Ip (Voip)
857, Network Administration
858, Routing
859, Quality Of Service (Qos)
860, Troubleshooting
861, Internet Protocol Suite (Tcp/Ip)
862, Open Shortest Path First (Ospf)
863, Border Gateway Protocol (Bgp)
864, Switches
865, Windows Server
866, Iot
867, Wireshark
868, Automated Software Testing
869, Finance
870, Jquery Ui
871, K-Nearest Neighbors (Knn)
872, Gru
873, Digital Signal Processors
874, Bayesian Networks
875, Markov Chain Monte Carlo
876, Hidden Markov Models
877,Team Leadership
878, Bioinformatics
879, Agarose Gel Electrophoresis
880, Qubole
881, Business Insights
882, Diversity
883,Mysql
884, J2Ee Application Development
885, Luigi
886, Robotics
887, Software
888, Prototyping
889, Probability Theory
890, Robot
891, Minio
892, Fintech
893,Computer Vision
894, Rasa Platform
895, Dialogflow
896, Flutter
897, Natural Language Understanding
898,Jmp
899, Instrumentation
900, Labview
901, Sql Server Management Studio
902, Sas E-Miner
903, Oracle Forms
904, Microsoft Suites
905, Crystal Ball
906, Relational Data Modeling
907, Sql Azure
908, Valuation
909, Real Estate Financing
910, Business Strategy
911, Commercial Real Estate
912, Equities
913, Investment Banking
914, Asset Management
915, Corporate Finance
916, Portfolio Management
917, Real Estate Economics
918, Bloomberg
919, Argus Modeling
920, Argus
921, R Markdown
922, Call Centers
923, Database Marketing
924, Financial Services
925, Workforce Planning
926, Workforce Management
927, Kotlin
928, Lotus Notes
929, Cloudkit
930, Arkit
931, Relationship Management
932, Sketch
933, Core Graphics
934, Core Data
935, Augmented Reality
936, Uikit
937, Ios Design
938, Blender
939, Iex Total View
940, Ewfm
941,Network Security
942, Information Security
943, Information Technology
944, Spl
945, Splunk
946, Number Theory
947, Pure Mathematics
948,Analytics
949, Pricing Strategy
950, Multiplicative Models
951, Mixed Model
952,Organic Chemistry
953, Synthetic Organic Chemistry
954, Nmr Spectroscopy
955, Hplc
956, Analytical Chemistry
957, Organic Synthesis
958, High-Performance Liquid Chromatography (Hplc)
959, Nuclear Magnetic Resonance (Nmr)
960, Gc-Ms
961, Ir
962, Organosulfur Chemistry
963, Gpu Acceleration
964,Bioinformatics
965, Computational Biology
966, Genomics
967, Genetics
968, Cancer
969, Software Design
970, Object Oriented Design
971, Sequence Analysis
972, Sequencing
973, Scientific Computing
974, Population Genetics
975, Bioconductor
976, Microarray Analysis
977, Refactoring
978, Human Genetics
979, Statistical Genetics
980, Static Analysis
981, Security Testing
982, Gui
983, Model Checking
984, Software Model Checking
985, Inferential Statistics
986, Social Network Analysis
987, Network Science
988, Sparksql
989, Cytoscape
990, Gephi
991, Reproducible Research
992, Economic Modeling
993, Spatial Modeling
994, Tennis Elbow
995, Mud Logging
996, Fruity Loops
997, Ear Candling
998, Cat Herding
999, Dog Aggression
1000, Specific Gravity
1001, Sandwiches
1002, Archery
1003, Handball
1004, Scooters
1005, Flower Essences
1006, Alto Flute
1007,Neural Networks
1008, Indesign
1009, Illustrator
1010, Adobe Xd
1011, Microsoft Power Automate
1012, Revit
1013, Capital Markets
1014, Commercial Litigation
1015, Securities Regulation
1016, Restructuring
1017, Fraud
1018, Securities Law
1019, Structured Finance
1020, Torch
1021, Distressed Assets
1022, Securities Fraud
1023, Special Situations
1024, Distressed Debt
1025, Valuation Modeling
1026,Apache Spark
1027, Ampl
1028,Wordpress
1029, Front-End
1030, Ajax
1031, Xhtml
1032, Content Management Systems (Cms)
1033, Cms
1034, Psd To Wordpress
1035, Obiee
1036, Php Applications
1037, Ai
1038, Intercultural Communication
1039, Mergers & Acquisitions (M&A)
1040, Survey Design
1041, Credit Analysis
1042, Investment Analysis
1043, Salesforce
1044, Stan
1045, Amazon Elastic Mapreduce (Emr)
1046, Computational Statistics
1047, Network Analysis
1048, Bayesisan Regression
1049, Qualtrics
1050, Strategic Finance
1051, Healthcare
1052, Medicare
1053, Actuarial
1054, Disease Management
1055, Risk Adjustment
1056, Medicaid
1057, Outcomes Research
1058, Multithreading
1059, Design Patterns
1060, Tcp/Ip
1061, Ospf
1062, Network Security
1063, Bgp
1064, Oop
1065, Representational State Transfer (Rest)
1066, Cisco Ios
1067, Cisco Technologies
1068, Cisco
1069, Routing Protocols
1070, Mercurial
1071, Pyramid
1072, Multiprocessing
1073, Mobile Payments
1074, Cash Flow Forecasting
1075, Customer Retention
1076, Health Insurance
1077, E-Commerce
1078, Seo
1079, Bitbucket
1080, Azure Databricks
1081, Octave
1082, Mobile Analytics
1083, Ad Hoc Reporting
1084, Accounting
1085, Derivatives
1086, Bloomberg Terminal
1087, Ordinary Differential Equations
1088, Stochastic Calculus
1089, Interest Rate Modeling
1090, Optimization Techniques
1091, Pycharm
1092, Quantitative Finance
1093, Energy Markets
1094, Sports Analytics
1095, Internal Audit
1096, Internal Controls
1097, Financial Audits
1098, It Audit
1099, Consulting
1100, Excel
1101, Lisp-Scheme
1102, Innovation
1103, Batch Files
1104,Strategy
1105, Segmentation
1106, Pricing
1107, Consumer Behaviour
1108, Market Planning
1109, Product Marketing
1110, Go-To-Market Strategy
1111, Marketing Research
1112, Consumer Behavior
1113, Strategic Thinking
1114, Marketing Communications
1115, Business Case Modelling
1116, Concept Generation
1117, Pricing Optimization
1118, Business Model Transformation
1119, Business Model Innovation
1120, Sustainable Business Strategies
1121, Customer Value Creation
1122, Pricing Analysis
1123, Analytical Modelling
1124, Launch Strategies
1125, Corporate Strategy Formulation
1126, Business Impact Analysis
1127, Innovative Thinking
1128, Aws Ec2 On-Demand Servers
1129, Heat Map
1130, Tkinter
1131, Building Effective Relationships
1132, Requests
1133, 数据科学
1134, 分析学
1135, 数据
1136, 普通话
1137, Lean Six Sigma
1138, Wireline Logging
1139, Spider
1140, Random Forests
1141, Support Vector Machines
1142, Beautifulsoup
1143, Bayesian Modelling
1144, Mixture Models
1145, Corporate Communications
1146, Numerical Analysis
1147, Selenium
1148, Russian
1149, Cosmology
1150, Jupiter Notebooks
1151, Differential Equations
1152, Nltk
1153, Lightgbm
1154, Trello
1155, Open Api
1156, Mac
1157, Sci-Kit
1158, Open3D
1159, Application Development
1160, Swift (Programming Language)
1161, Point Of Sale (Pos) Systems
1162, Terminal
1163, Financial Econometrics
1164, Guitar
1165, Photography
1166, System On A Chip (Soc)
1167, Field-Programmable Gate Arrays (Fpga)
1168, Simulink
1169, Adobe Photoshop
1170, Altera Quartus
1171, X86 Assembly
1172, Cuda
1173, Virtual Reality
1174, Linux Kernel
1175, Parallel Programming
1176, System Verilog
1177, Nios Ii
1178, Datamining
1179, Communication Skills
1180, Statistical Consulting
1181, Agile Project Management
1182, Storyboarding
1183, Business Plan Formulation
1184, Saas
1185, Mobile Application Design
1186, Tableau Online
1187, Web Services Api
1188,Software Engineering
1189, Operations Research
1190, Military
1191, Optimizations
1192, Backbone.Js
1193, Decision Analysis
1194, Underscore.Js
1195, Application Programming Interfaces
1196, Banking
1197, Software Installation
1198, Sparkr
1199, Apache Spark Ml
1200, Evolutionary Computation
1201, Social Networking
1202, Kubernetes
1203, Jupyter Notebook
1204, Google Colab
1205, Pil
1206, Classification Modeling
1207, Image Classification
1208,Knowledge Discovery
1209, Football
1210, Basketball
1211, Machine Tools
1212, Gensim
1213, Aws Codecommit
1214, Amazon Cognito
1215, Soft Skills
1216, Apache Solr
1217, Stanford Nlp Tools
1218, Graph Theory
1219, Raspberry Pi
1220, Psoc
1221, Chess
1222, Information Extraction
1223, Aws Amplify
1224, Aws Api Gateway
1225, Financial Accounting
1226, Problem Management
1227, Romanian
1228, High Level Of Accuracy
1229,Predictive Modeling
1230, Metallurgy
1231, Jmp
1232, Continuous Casting
1233, Extractive Metallurgy
1234, Text Analytics
1235, Reinforcement Learning
1236, Personalization
1237,Spectroscopy
1238, Microservices
1239, Astronomy
1240, Astronomy Education
1241, Graph
1242, Instrumentation And Optics
1243,Amazon Web Services (Aws)
1244, U.S. Health Insurance Portability And Accountability Act (Hipaa)
1245, Dell Boomi
1246, Solver
1247, Talend
1248, Rstudio
1249, Support Vector Machine (Svm)
1250, Xlminer
1251, Serverless Computing
1252,Research
1253, Polymerase Chain Reaction (Pcr)
1254, Computer Networking
1255, Cgmp Practices
1256, Redcap
1257, Biomedical Informatics
1258, Pgadmin
1259, Molecular Genetics
1260, Google Api
1261, Opengl
1262, Unix Shell
1263, Css Flexbox
1264, Mongoose Odm
1265, React Native
1266, Firebase
1267, Html/Css
1268, Continuous Delivery
1269, Continuous Integration
1270, Computer Simulation
1271, Consumer Electronics
1272, Bert
1273, Tensorboard
1274, Personal Development
1275, Altium Designer
1276, Language Modeling
1277, Operations
1278, Nonprofits
1279,Android Development
1280, Academic Writing
1281, Academic Advising
1282, Mobile Applications
